true_seed,name,cost,package,cost
1,Gonzaga,23,Fast Animals,3
67,Norfolk St,1,Boids,2
32,Oklahoma,3,Slow Animals,5
33,Missouri,2,Eagles,4
17,Creighton,5,Tough Guys,2
50,UC Santa Barbara,Tough Guys,Magnificent,1
16,Virginia,7,,
51,Ohio,Fast Animals,,
21,USC,5,,
48,Drake,2,,
12,Kansas,10,,
58,Eastern Washington,Eagles,,
25,Oregon,4,,
38,VCU,Fast Animals,,
7,Iowa,16,,
59,Grand Canyon,Fast Animals,,
2,Baylor,19,,
64,Hartford,Boids,,
31,North Carolina,5,,
35,Wisconsin,6,,
18,Villanova,6,,
49,Winthrop,Eagles,,
14,Purdue,6,,
52,North Texas,Eagles,,
22,Texas Tech,4,,
42,Utah State,Slow Animals,,
9,Arkansas,12,,
57,Colgate,Slow Animals,,
28,Florida,3,,
37,Virginia Tech,Boids,,
6,Ohio State,15,,
61,Oral Roberts,Eagles,,
43,Michigan,20,,
66,Texas So,1,,
29,LSU,4,,
39,St Bonaventure,4,,
20,Colorado,6,,
47,Georgetown,1,,
13,Florida State,6,,
54,UNC Greensboro,Tough Guys,,
23,BYU,4,,
44,UCLA,3,,
11,Texas,10,,
55,Abilene Christian,Fast Animals,,
26,UConn,4,,
36,Maryland,Slow Animals,,
5,Alabama,14,,
62,Iona,1,,
3,Illinois,20,,
63,Drexel,Magnificent,,
30,Loyola Chicago,6,,
34,Georgia Tech,3,,
19,Tennessee,5,,
46,Oregon State,Slow Animals,,
15,Oklahoma State,5,,
53,Liberty,Eagles,,
24,San Diego State,5,,
41,Syracuse,2,,
10,West Virginia,10,,
56,Morehead State,Eagles,,
27,Clemson,3,,
40,Rutgers,Tough Guys,,
8,Houston,15,,
60,Cleveland State,Magnificent,,
